UUID,Pinyin,Character,New Filename
sapi5-4915d8a1-ad50f0a2-84a98fb0-543faf2c-f3156edb.mp3,de,的,de_的.mp3
sapi5-4d0c1a44-52e338bb-8ccae66c-e836cd33-1ce19e1f.mp3,yī,一,yī_一.mp3
sapi5-08d06ffb-5adeb3e1-697ec518-35ed098c-7e9798e4.mp3,shì,是,shì_是.mp3
sapi5-98784768-59838fac-09875739-dbc662f4-34d29235.mp3,bù,不,bù_不.mp3
sapi5-15f10852-64cc9ca3-8036d7c3-43ab2889-c4472559.mp3,le,了,le_了.mp3
sapi5-1498d61f-b2ff93a1-957cf6c9-7c79abac-a22831c8.mp3,zài,在,zài_在.mp3
sapi5-b65bab7f-639081be-a6498194-384b9ecf-99def084.mp3,rén,人,rén_人.mp3
sapi5-8c54253c-722de49c-1d6ecea2-afc891c8-4c346370.mp3,yǒu,有,yǒu_有.mp3
sapi5-ab0ba57a-5d64756d-2480f60a-8223b2cf-3c3ffc50.mp3,wǒ,我,wǒ_我.mp3
sapi5-2830cea5-af73f8fc-5151ff98-281f690f-9c9177a8.mp3,tā,他,tā_他.mp3
sapi5-4ee53375-3e28dcbc-49b922e3-32e5ddc6-495401c6.mp3,zhè,这,zhè_这.mp3
sapi5-dce4c56b-79451b72-33c5dc4b-93765670-c1e6537a.mp3,gè,个,gè_个.mp3
sapi5-b108b569-c8e26a8e-0b4108d9-9a2af907-0bdb383d.mp3,men,们,men_们.mp3
sapi5-93780bca-009c5d75-476f9b04-2763cbe6-38c3105a.mp3,zhōng,中,zhōng_中.mp3
sapi5-f77741c5-105c3222-84b86927-5427b86b-7b7ba383.mp3,lái,来,lái_来.mp3
sapi5-c8db1ecc-c48dd04e-69aab823-8177e37f-4af31ffc.mp3,shàng,上,shàng_上.mp3
sapi5-6e62b32d-db4ff93a-136e6f18-dd8b0583-c03e659c.mp3,dà,大,dà_大.mp3
sapi5-570cf6ac-36aec85a-2c507336-2afa4751-8fbc0ad9.mp3,wèi,为,wèi_为.mp3
sapi5-3cbca5d7-abb90014-329ea66d-0e288ab0-6f4b4c70.mp3,hé,和,hé_和.mp3
sapi5-a8816632-58992431-165e61aa-addc77fc-ace138e2.mp3,guó,国,guó_国.mp3
sapi5-4ed21973-c2859393-631a8f63-b096b8c1-7889b8d9.mp3,dì,地,dì_地.mp3
sapi5-0b9c08c1-0129a0d4-02f52071-7e523b75-f1b4d84b.mp3,dào,到,dào_到.mp3
sapi5-eb1db397-e9b83f13-991998f4-d3fa1940-76987c2d.mp3,yǐ,以,yǐ_以.mp3
sapi5-1a7f402d-cbd3e46a-7cdfe7ab-4e83928d-60fbd216.mp3,shuō,说,shuō_说.mp3
sapi5-1f2dff9e-dda1435c-6a6b3db5-3d699b05-ba26a999.mp3,shí,时,shí_时.mp3
sapi5-7d33685e-301e0b6d-a57e3160-768c0f11-95620b9a.mp3,yào,要,yào_要.mp3
sapi5-32226fb7-c2f456ad-058859bc-6a3b22a2-a48f5d7f.mp3,jiù,就,jiù_就.mp3
sapi5-f69bdf32-47b4a7ac-33513288-a4da57ae-bf7a16e6.mp3,chū,出,chū_出.mp3
sapi5-f92cf2fd-737c3653-e3dce745-bdf59696-14778f66.mp3,huì,会,huì_会.mp3
sapi5-01684303-5837153d-5ce82d3b-9931f14b-65fa5cc4.mp3,kě,可,kě_可.mp3
sapi5-50a4a01e-2cea93af-d0213710-9df8bdc5-b39b3c27.mp3,yě,也,yě_也.mp3
sapi5-8c1c058c-31601668-6af35765-f3d93b53-b4465d92.mp3,nǐ,你,nǐ_你.mp3
sapi5-d512a647-1242531a-b70e2c5c-119e06df-3c5c5948.mp3,duì,对,duì_对.mp3
sapi5-16b1e17d-60715041-b5b5d4e4-4438ff07-0f9ca267.mp3,shēng,生,shēng_生.mp3
sapi5-81373393-8160dd9e-334dc441-5e731dba-94714f74.mp3,néng,能,néng_能.mp3
sapi5-f9907999-d8f5ed15-d0658dff-34ae23dc-e3bcad8b.mp3,ér,而,ér_而.mp3
sapi5-3c046b5e-f465a602-c9ad8139-3d8f6832-5d89a66e.mp3,zǐ,子,zǐ_子.mp3
sapi5-fd62b230-798f04a5-2be28e13-728ab5a8-65207478.mp3,nà,那,nà_那.mp3
sapi5-27ab8641-ad6a096a-01f947ec-2f7d0081-a674cd35.mp3,dé,得,dé_得.mp3
sapi5-887ef6e2-099e5993-dc192782-e46e630e-0e353f2e.mp3,yú,于,yú_于.mp3
sapi5-d69b318a-b632eda0-5fccc8d5-be8408dc-362d607c.mp3,zháo,着,zháo_着.mp3
sapi5-47a9c2c1-6edc0d8a-42c9e7ad-1d63d706-924b9ec7.mp3,xià,下,xià_下.mp3
sapi5-36a05e12-90796338-751ea383-948874e5-4e2acb8c.mp3,zì,自,zì_自.mp3
sapi5-faca15a1-7ed6e2cb-157ea59d-8abc5a52-e4843221.mp3,zhī,之,zhī_之.mp3
sapi5-573788ee-8f78d6e0-41b6fd83-0b9d2305-0508932c.mp3,nián,年,nián_年.mp3
sapi5-fbdc664b-7de60d63-daec8a4e-75af5a30-e77d984d.mp3,guò,过,guò_过.mp3
sapi5-c39a4a1d-a4def461-7b451bed-2feadcda-e705aceb.mp3,fā,发,fā_发.mp3
sapi5-e3cbb831-4b89f095-6a12d550-60639a9c-306040b5.mp3,hòu,后,hòu_后.mp3
sapi5-c7ccf2d9-efc190b1-0b144cb4-58106906-bd1391eb.mp3,zuò,作,zuò_作.mp3
sapi5-e57c5b0a-bf55259c-12c7f16e-8d2e5a18-8c2a4acc.mp3,lǐ,里,lǐ_里.mp3
sapi5-e858c91e-8d01cb54-766826ae-f82e32d1-0706318a.mp3,yòng,用,yòng_用.mp3
sapi5-ee9e4172-03948167-85ca7e68-4c86d44b-c41d64fa.mp3,dào,道,dào_道.mp3
